date,minutes,seconds,distance,calories
6/17/2014,63,29,4.25,437
6/19/2014,77,33,5.27,606
6/23/2014,65,00,4.65,500
6/25/2014,60,00,4.6,536
6/30/2014,62,00,4.67,557
7/7/2014,67,00,5.04,603
7/14/2014,67,00,5.16,623
7/22/2014,64,00,5.1,600
7/29/2014,62,00,5.05,625
8/4/2014,72,00,5.78,720
8/18/2014,68,00,5.26,551
8/25/2014,72,00,5.61,688
8/29/2014,62,00,4.96,610
9/1/2014,32,00,2.83,337
9/4/2014,75,00,6.07,717
9/7/2014,22,00,1.93,251
9/15/2014,75,00,5.59,657
9/22/2014,62,00,5.39,698
10/6/2014,40,00,3.27,346
2/2/2015,65,00,4.73,
2/4/2015,65,00,4.65,
2/9/2015,62,00,4.89,639
2/16/2015,62,00,4.87,637
3/9/2015,67,00,5.43,719
6/8/2015,45,00,3.35,466
6/11/2015,50,00,3.73,536
6/15/2015,62,00,4.49,
6/23/2015,28,00,1.54,191
6/30/2015,37,37,2.59,351
7/2/2015,60,13,4.56,653
7/6/2015,61,37,4.75,685
7/8/2015,60,16,4.53,505
7/20/2015,60,06,4.38,626
7/22/2015,60,05,4.63,653
7/27/2015,32,00,2.7,391
7/29/2015,60,00,5.02,737
8/3/2015,60,32,5.02,720
8/5/2015,60,00,5.13,756
8/10/2015,60,00,5.01,728
8/12/2015,60,00,5.17,769
8/17/2015,61,00,5.15,758
8/19/2015,60,00,5.19,774
8/24/2015,60,00,5.3,774
8/27/2015,60,01,5.32,777
8/31/2015,62,13,5.28,779
9/2/2015,61,10,5.27,757
9/9/2015,62,00,5.46,787
9/11/2015,62,00,5.15,550
9/14/2015,61,00,5.54,773
9/16/2015,61,29,5.61,783
9/21/2015,60,00,5.47,765
10/5/2015,61,00,5.57,769
10/7/2015,18,00,1.72,237
10/15/2015,60,00,5.44,762
10/21/2015,60,34,5.47,765
10/26/2015,62,30,5.42,735
10/29/2015,61,00,5.86,829
11/2/2015,59,59,5.59,783
11/4/2015,61,05,5.91,839
11/9/2015,50,50,4.27,
12/7/2015,60,15,5.01,680
12/9/2015,47,30,4.32,602
12/14/2015,60,00,5.46,768
1/5/2015,60,00,4.98,676
